season,week,celebrity_name,fan_votes_mean,fan_votes_std,fan_votes_ci_lower,fan_votes_ci_upper,fan_votes_median
1,2,John O'Hurley,5992.985328143105,617.2338525593507,4750.556175810924,7095.099341569359,5984.122372815866
1,2,Kelly Monaco,3014.142416182685,300.80125542806127,2380.418129612048,3590.344499880358,3026.1677106483266
1,2,Evander Holyfield,3988.041372090493,389.36129358802094,3281.3979994435076,4749.350900398717,3977.828203720452
1,2,Rachel Hunter,6043.52453839956,565.789281111638,5006.471457637149,7118.558354232386,6004.825080691649
1,2,Joey McIntyre,5016.274468325423,519.7189474222356,3978.411656967544,5966.5308671168095,5028.667947636564
1,2,Trista Sutter,2009.7973837936627,208.43457642289687,1597.4268712557946,2428.4778593161386,2000.8691828737788
1,3,John O'Hurley,5013.078526337637,472.73321674629665,4106.328719230124,5975.986347040613,4998.371991410721
1,3,Kelly Monaco,3011.707401637605,309.0103674749321,2401.0036283215236,3627.2459994104624,3009.8725402764317
1,3,Evander Holyfield,2002.241095521838,193.44275219011612,1575.58959341207,2342.1876046894017,2005.8109308058454
1,3,Rachel Hunter,4989.572313770356,515.9238991021977,3915.1443442112286,5927.837317373943,5000.320763563416
1,3,Joey McIntyre,4000.545681218155,409.9491842016895,3189.126275115784,4832.673127663561,4008.017050977414
1,4,John O'Hurley,3001.097575030776,288.4150901823122,2407.7389251723357,3533.2519676946004,3003.0786239953895
1,4,Kelly Monaco,3975.702937959954,399.1535497030861,3184.689134745729,4734.017894230277,3978.012812456256
1,4,Rachel Hunter,2017.7473650562845,193.22035807730734,1609.7022329997699,2405.1345495900277,2019.2160726117809
1,4,Joey McIntyre,4011.4238351558856,409.379813208743,3197.5272610755783,4813.4305530769525,4017.487226045173
1,5,John O'Hurley,3003.9323681264377,278.04114419606447,2460.7793290008776,3552.517500942465,3006.93030608921
1,5,Kelly Monaco,2987.4376151910405,295.2985249732549,2384.88018015379,3603.966090897001,2978.8336842085923
1,5,Joey McIntyre,1997.987242262981,207.5605629379957,1589.1403061636736,2399.0977549626277,2001.5448101942065
